,STOP_REMOVAL,STEMMING,Text_Token,Sentiment
1206,ush beribet mas bpjs jaminan sosial hitungnya jgn disamain asuransi lgian kesehatan emg kewajiban negara kuq sy blg hrs gratis minimal jgn memberatkan,ush beribet mas bpjs jamin sosial hitung jgn disamain asuransi lgian sehat emg wajib negara kuq sy blg hrs gratis minimal jgn berat,"['ush', 'beribet', 'mas', 'bpjs', 'jamin', 'sosial', 'hitung', 'jgn', 'disamain', 'asuransi', 'lgian', 'sehat', 'emg', 'wajib', 'negara', 'kuq', 'sy', 'blg', 'hrs', 'gratis', 'minimal', 'jgn', 'berat']",Positif
1207,bpjs diperbaiki sistem pelaksanaan pengawasan ngeluh iurannya iurannya mengalami kenaikan berdoa semoga bermanfaat menyadarkan kesehatan mahal,bpjs baik sistem laksana awas ngeluh iur iur alami naik doa moga manfaat sadar sehat mahal,"['bpjs', 'baik', 'sistem', 'laksana', 'awas', 'ngeluh', 'iur', 'iur', 'alami', 'naik', 'doa', 'moga', 'manfaat', 'sadar', 'sehat', 'mahal']",Positif
1208,cancer survivor kemo radiasi tindakan biaya dijamin bpjs kesehatan bertahan hidup thanks god thanks bpjs kesehatan,cancer survivor kemo radiasi tindak biaya jamin bpjs sehat tahan hidup thanks god thanks bpjs sehat,"['cancer', 'survivor', 'kemo', 'radiasi', 'tindak', 'biaya', 'jamin', 'bpjs', 'sehat', 'tahan', 'hidup', 'thanks', 'god', 'thanks', 'bpjs', 'sehat']",Positif
1209,cover biaya kesehatan bpjs susah banget rujukan parah lgsg igd rs lgsg opname adminnya nanyain pakai bpjs,cover biaya sehat bpjs susah banget rujuk parah lgsg igd rs lgsg opname adminnya nanyain pakai bpjs,"['cover', 'biaya', 'sehat', 'bpjs', 'susah', 'banget', 'rujuk', 'parah', 'lgsg', 'igd', 'rs', 'lgsg', 'opname', 'adminnya', 'nanyain', 'pakai', 'bpjs']",Positif
1210,insya allah ridho memahami kenaikan iuran bpjs audit kinerja thd bpjs kesehatan menyertakan rekomendasi auditor sisi objektivitas terbuka bpjs manfaatnya,insya allah ridho paham naik iur bpjs audit kerja thd bpjs sehat serta rekomendasi auditor sisi objektivitas buka bpjs manfaat,"['insya', 'allah', 'ridho', 'paham', 'naik', 'iur', 'bpjs', 'audit', 'kerja', 'thd', 'bpjs', 'sehat', 'serta', 'rekomendasi', 'auditor', 'sisi', 'objektivitas', 'buka', 'bpjs', 'manfaat']",Positif
1211,kenaikan harga iuran bpjs membantu org membayar bpjs org dapet menikmati fasilitas kesehatan pemerintah paham cobalah mengeluh,naik harga iur bpjs bantu org bayar bpjs org dapet nikmat fasilitas sehat perintah paham coba keluh,"['naik', 'harga', 'iur', 'bpjs', 'bantu', 'org', 'bayar', 'bpjs', 'org', 'dapet', 'nikmat', 'fasilitas', 'sehat', 'perintah', 'paham', 'coba', 'keluh']",Positif
1212,knp sih males analisa knp bpjs kesehatan hr dinaikan iuranya coba baca deh utas prastow tntang bpjs kesehatan ,knp sih males analisa knp bpjs sehat hr naik iuranya coba baca deh utas prastow tntang bpjs sehat,"['knp', 'sih', 'males', 'analisa', 'knp', 'bpjs', 'sehat', 'hr', 'naik', 'iuranya', 'coba', 'baca', 'deh', 'utas', 'prastow', 'tntang', 'bpjs', 'sehat']",Positif
1213,klo negara maju ansuransi kesehatan spt bpjs hitung pendapatan orang orang klo orang pendapatannya kaya paksa pemerintah membayar iuran pajak klo perorang miskin bayar iuran pajak,klo negara maju ansuransi sehat spt bpjs hitung dapat orang orang klo orang dapat kaya paksa perintah bayar iur pajak klo orang miskin bayar iur pajak,"['klo', 'negara', 'maju', 'ansuransi', 'sehat', 'spt', 'bpjs', 'hitung', 'dapat', 'orang', 'orang', 'klo', 'orang', 'dapat', 'kaya', 'paksa', 'perintah', 'bayar', 'iur', 'pajak', 'klo', 'orang', 'miskin', 'bayar', 'iur', 'pajak']",Positif
1214,gk keberatan kenaikan bpjs org kerja tdk langsung membantu org butuh pertolongan kesehatan disitu dlu,gk berat naik bpjs org kerja tdk langsung bantu org butuh tolong sehat situ dlu,"['gk', 'berat', 'naik', 'bpjs', 'org', 'kerja', 'tdk', 'langsung', 'bantu', 'org', 'butuh', 'tolong', 'sehat', 'situ', 'dlu']",Positif
1215,gotong royong tertolong cinta bpjs kesehatan,gotong royong tolong cinta bpjs sehat,"['gotong', 'royong', 'tolong', 'cinta', 'bpjs', 'sehat']",Positif
1216,pas dijelasin asuransi kesehatan lu bodoh jelek in bpjs pas sakit org trsayang sakit lu buru ngurus bpjs pas dah sehat ngga bayar premi sakit buru bayar premi biar dipake lu teriak defisit pengen hihhh,pas dijelasin asuransi sehat lu bodoh jelek in bpjs pas sakit org trsayang sakit lu buru ngurus bpjs pas dah sehat ngga bayar premi sakit buru bayar premi biar dipake lu teriak defisit ken hihhh,"['pas', 'dijelasin', 'asuransi', 'sehat', 'lu', 'bodoh', 'jelek', 'in', 'bpjs', 'pas', 'sakit', 'org', 'trsayang', 'sakit', 'lu', 'buru', 'ngurus', 'bpjs', 'pas', 'dah', 'sehat', 'ngga', 'bayar', 'premi', 'sakit', 'buru', 'bayar', 'premi', 'biar', 'dipake', 'lu', 'teriak', 'defisit', 'ken', 'hihhh']",Positif
1217,baguslah niatnya membantu saudara setanah air biarlah memanfaatkan fadilitas kesehatan sediakan bpjs,bagus niat bantu saudara tanah air biar manfaat fadilitas sehat sedia bpjs,"['bagus', 'niat', 'bantu', 'saudara', 'tanah', 'air', 'biar', 'manfaat', 'fadilitas', 'sehat', 'sedia', 'bpjs']",Positif
1218,keberatan naikin iuran bpjs biaya costs bleeding selesai perbaikan management internalnya asuransi bidang kesehatan sy pikir pengelolanya perbanyak ahli asuransi aktuarist ahli keuangan,berat naikin iur bpjs biaya costs bleeding selesai baik management internal asuransi bidang sehat sy pikir kelola banyak ahli asuransi aktuarist ahli uang,"['berat', 'naikin', 'iur', 'bpjs', 'biaya', 'costs', 'bleeding', 'selesai', 'baik', 'management', 'internal', 'asuransi', 'bidang', 'sehat', 'sy', 'pikir', 'kelola', 'banyak', 'ahli', 'asuransi', 'aktuarist', 'ahli', 'uang']",Positif
1219,suksidi silang canada bayangkan bpjs jalan uang brp orang ri dpt pelayanan kesehatan spt bpjs sdh kacau balau rs menolak pasien krn rs blm dibayar bpjs,suksidi silang canada bayang bpjs jalan uang brp orang ri dpt layan sehat spt bpjs sdh kacau balau rs tolak pasien krn rs blm bayar bpjs,"['suksidi', 'silang', 'canada', 'bayang', 'bpjs', 'jalan', 'uang', 'brp', 'orang', 'ri', 'dpt', 'layan', 'sehat', 'spt', 'bpjs', 'sdh', 'kacau', 'balau', 'rs', 'tolak', 'pasien', 'krn', 'rs', 'blm', 'bayar', 'bpjs']",Positif
1220,pemerintah dpt menawarkan kesempatan kpd peserta privilege brsedia membayar sesuai aktuaria menarik peserta asuransi kesehatan gengsi bpjs rs berkelas lg memandang sebelah mata thdp bpjs kelas,perintah dpt tawar sempat kpd serta privilege brsedia bayar sesuai aktuaria tarik serta asuransi sehat gengsi bpjs rs kelas lg pandang belah mata thdp bpjs kelas,"['perintah', 'dpt', 'tawar', 'sempat', 'kpd', 'serta', 'privilege', 'brsedia', 'bayar', 'sesuai', 'aktuaria', 'tarik', 'serta', 'asuransi', 'sehat', 'gengsi', 'bpjs', 'rs', 'kelas', 'lg', 'pandang', 'belah', 'mata', 'thdp', 'bpjs', 'kelas']",Positif
1221,no worries om tep byr bpjs kes brp preminya krn msh jauuuhhh lbh murmer dr asuransi kesehatan swasta double coverlah anggap,no worries om tep byr bpjs kes brp premi krn msh jauuuhhh lbh murmer dr asuransi sehat swasta double coverlah anggap,"['no', 'worries', 'om', 'tep', 'byr', 'bpjs', 'kes', 'brp', 'premi', 'krn', 'msh', 'jauuuhhh', 'lbh', 'murmer', 'dr', 'asuransi', 'sehat', 'swasta', 'double', 'coverlah', 'anggap']",Positif
1222,coba konsul bpjs melanjutkan asuransi bpjs efeknya manfaat kesehatan,coba konsul bpjs lanjut asuransi bpjs efek manfaat sehat,"['coba', 'konsul', 'bpjs', 'lanjut', 'asuransi', 'bpjs', 'efek', 'manfaat', 'sehat']",Positif
1223,membayar bpjs diniati membantu membutuhkan semoga sekeluarga kesehatan keselamatan,bayar bpjs niat bantu butuh moga keluarga sehat selamat,"['bayar', 'bpjs', 'niat', 'bantu', 'butuh', 'moga', 'keluarga', 'sehat', 'selamat']",Positif
1224,cuman sembilan belas rb ribu delapan belas ribu puluh berat nil jaminan kesehatan tdk pake kartu miskin nil ngapain gengsi tdk mending jujur pemerintah drpd lo memaksakan sok pake bpjs,cuman sembilan belas rb ribu delapan belas ribu puluh berat nil jamin sehat tdk pake kartu miskin nil ngapain gengsi tdk mending jujur perintah drpd lo paksa sok pake bpjs,"['cuman', 'sembilan', 'belas', 'rb', 'ribu', 'delapan', 'belas', 'ribu', 'puluh', 'berat', 'nil', 'jamin', 'sehat', 'tdk', 'pake', 'kartu', 'miskin', 'nil', 'ngapain', 'gengsi', 'tdk', 'mending', 'jujur', 'perintah', 'drpd', 'lo', 'paksa', 'sok', 'pake', 'bpjs']",Positif
1225,pake bpjs kelas jalur mandiri karyawan aq pake bpjs bpjs terbukti mmbantu cover kesehatan bayar sdh dinikmati dr bpjs sdh beratus kali lipat bpjs engga drpd dibatasi pelayanannya biaya lg,pake bpjs kelas jalur mandiri karyawan aq pake bpjs bpjs bukti mmbantu cover sehat bayar sdh nikmat dr bpjs sdh atus kali lipat bpjs engga drpd batas layan biaya lg,"['pake', 'bpjs', 'kelas', 'jalur', 'mandiri', 'karyawan', 'aq', 'pake', 'bpjs', 'bpjs', 'bukti', 'mmbantu', 'cover', 'sehat', 'bayar', 'sdh', 'nikmat', 'dr', 'bpjs', 'sdh', 'atus', 'kali', 'lipat', 'bpjs', 'engga', 'drpd', 'batas', 'layan', 'biaya', 'lg']",Positif
1226,bener banget alhamdulillah bpjs kesehatan dibayarkan kerja potong persen gaji,bener banget alhamdulillah bpjs sehat bayar kerja potong persen gaji,"['bener', 'banget', 'alhamdulillah', 'bpjs', 'sehat', 'bayar', 'kerja', 'potong', 'persen', 'gaji']",Positif
1227,pola pikir kesehatan kartu bpjs usahakan menggunakannya tetaplah sehat atur kesehatan jasmani rohanimu sehat mahal gunanya kaya kekayanmu pengobatan sakitmu,pola pikir sehat kartu bpjs usaha guna tetap sehat atur sehat jasmani rohani sehat mahal guna kaya kayan obat sakit,"['pola', 'pikir', 'sehat', 'kartu', 'bpjs', 'usaha', 'guna', 'tetap', 'sehat', 'atur', 'sehat', 'jasmani', 'rohani', 'sehat', 'mahal', 'guna', 'kaya', 'kayan', 'obat', 'sakit']",Positif
1228,"selayaknya iuran bpjs naikan orang hak konstitusinya menaikan iuran kelas satu, sedekah membantu biaya kesehatan pengobatan pelayanan",layak iur bpjs naik orang hak konstitusi naik iur kelas satu sedekah bantu biaya sehat obat layan,"['layak', 'iur', 'bpjs', 'naik', 'orang', 'hak', 'konstitusi', 'naik', 'iur', 'kelas', 'satu', 'sedekah', 'bantu', 'biaya', 'sehat', 'obat', 'layan']",Positif
1229,dasar hukum kenaikan bpjs berbeda dasar hukum dibatalkan ma berlaku putusan ma membatalkan keren banget rincian kenaikan iuran bpjs kesehatan corona ,dasar hukum naik bpjs beda dasar hukum batal ma laku putus ma batal keren banget rincian naik iur bpjs sehat corona,"['dasar', 'hukum', 'naik', 'bpjs', 'beda', 'dasar', 'hukum', 'batal', 'ma', 'laku', 'putus', 'ma', 'batal', 'keren', 'banget', 'rincian', 'naik', 'iur', 'bpjs', 'sehat', 'corona']",Positif
1230,ayah beliau axa as kesehatan alihkan k as jiwa bikin ribet axa pdahal ayah sakit keras untung keluarga bpjs,ayah beliau axa as sehat alih k as jiwa bikin ribet axa pdahal ayah sakit keras untung keluarga bpjs,"['ayah', 'beliau', 'axa', 'as', 'sehat', 'alih', 'k', 'as', 'jiwa', 'bikin', 'ribet', 'axa', 'pdahal', 'ayah', 'sakit', 'keras', 'untung', 'keluarga', 'bpjs']",Positif
1231,gitu sih lihat data takjub peserta bpjs kesehatan dibiayai pemerintah ,gitu sih lihat data takjub serta bpjs sehat biaya perintah,"['gitu', 'sih', 'lihat', 'data', 'takjub', 'serta', 'bpjs', 'sehat', 'biaya', 'perintah']",Positif
1232,tdk samakan asuransi swasta bpjs asuransi perusahaan mencari keuntungan bpjs amanat konstitusk pelayanan kesehatan masyarakat paham,tdk sama asuransi swasta bpjs asuransi usaha cari untung bpjs amanat konstitusk layan sehat masyarakat paham,"['tdk', 'sama', 'asuransi', 'swasta', 'bpjs', 'asuransi', 'usaha', 'cari', 'untung', 'bpjs', 'amanat', 'konstitusk', 'layan', 'sehat', 'masyarakat', 'paham']",Positif
1233,kritik kenaikan iuran bpjs kesehatan sah sah kritik pakai alasan rakyat miskin konyol kuadrat rakyat miskin bayar iuran,kritik naik iur bpjs sehat sah sah kritik pakai alas rakyat miskin konyol kuadrat rakyat miskin bayar iur,"['kritik', 'naik', 'iur', 'bpjs', 'sehat', 'sah', 'sah', 'kritik', 'pakai', 'alas', 'rakyat', 'miskin', 'konyol', 'kuadrat', 'rakyat', 'miskin', 'bayar', 'iur']",Positif
1234,rasain struk dlu lo pd bru rasain manfaatny bpjs bpjs anggap ja ni amal kesehatan berpikirlah sehattt,rasain struk dlu lo pd bru rasain manfaatny bpjs bpjs anggap ja ni amal sehat pikir sehattt,"['rasain', 'struk', 'dlu', 'lo', 'pd', 'bru', 'rasain', 'manfaatny', 'bpjs', 'bpjs', 'anggap', 'ja', 'ni', 'amal', 'sehat', 'pikir', 'sehattt']",Positif
1235,klo gtu jgn pusing mikirin bpjs mas beruntung memiliki jaminan kesehatan dr gk berharap bpjs jgn kritis valid,klo gtu jgn pusing mikirin bpjs mas untung milik jamin sehat dr gk harap bpjs jgn kritis valid,"['klo', 'gtu', 'jgn', 'pusing', 'mikirin', 'bpjs', 'mas', 'untung', 'milik', 'jamin', 'sehat', 'dr', 'gk', 'harap', 'bpjs', 'jgn', 'kritis', 'valid']",Positif
1236,bpjs alasannya negara hadir membantu masyarakat warga rakyatnya kebutuhannya berkaitan pendidikan kesehatan kebutuhan dipenuhi negara scara gratis indonesia kaya raya mbok dikelola,bpjs alas negara hadir bantu masyarakat warga rakyat butuh kait didik sehat butuh penuh negara scara gratis indonesia kaya raya mbok kelola,"['bpjs', 'alas', 'negara', 'hadir', 'bantu', 'masyarakat', 'warga', 'rakyat', 'butuh', 'kait', 'didik', 'sehat', 'butuh', 'penuh', 'negara', 'scara', 'gratis', 'indonesia', 'kaya', 'raya', 'mbok', 'kelola']",Positif
1237,turun kelas perlindungan kesehatan disaat krisis ekonomi akibat pandemi menyerang berkenan maaf mohon dipertimbangkan kenaikan iuran bpjs kesehatan jokowi,turun kelas lindung sehat saat krisis ekonomi akibat pandemi serang kenan maaf mohon timbang naik iur bpjs sehat jokowi,"['turun', 'kelas', 'lindung', 'sehat', 'saat', 'krisis', 'ekonomi', 'akibat', 'pandemi', 'serang', 'kenan', 'maaf', 'mohon', 'timbang', 'naik', 'iur', 'bpjs', 'sehat', 'jokowi']",Positif
1238,makan mesti muter otak mencukupi keluarga paham polemik bpjs defisit asuransi kesehatan pemerintah asuransi,makan mesti muter otak cukup keluarga paham polemik bpjs defisit asuransi sehat perintah asuransi,"['makan', 'mesti', 'muter', 'otak', 'cukup', 'keluarga', 'paham', 'polemik', 'bpjs', 'defisit', 'asuransi', 'sehat', 'perintah', 'asuransi']",Positif
1239,gini deh drpd muter mulu elo ngerasain lgsg manfaat bpjs iya knp negara kompleks kesehatan banget harapannya iuran pelayanan jg membaik,gin deh drpd muter mulu elo ngerasain lgsg manfaat bpjs iya knp negara kompleks sehat banget harap iur layan jg baik,"['gin', 'deh', 'drpd', 'muter', 'mulu', 'elo', 'ngerasain', 'lgsg', 'manfaat', 'bpjs', 'iya', 'knp', 'negara', 'kompleks', 'sehat', 'banget', 'harap', 'iur', 'layan', 'jg', 'baik']",Positif
1240,peduli bantu rakyat turunkan harga bbm turunkan tarif listrik turunkan tarif iuran bpjs kesehatan ngadain konser ,peduli bantu rakyat turun harga bbm turun tarif listrik turun tarif iur bpjs sehat ngadain konser,"['peduli', 'bantu', 'rakyat', 'turun', 'harga', 'bbm', 'turun', 'tarif', 'listrik', 'turun', 'tarif', 'iur', 'bpjs', 'sehat', 'ngadain', 'konser']",Positif
1241,tau kesehatan keluarga uang gimana bantuan pemerintah disuruh mandiri bingung intinya merengek kemahal coba bpjs kls puluh munkin aq usahain,tau sehat keluarga uang gimana bantu perintah suruh mandiri bingung inti rengek mahal coba bpjs kls puluh munkin aq usahain,"['tau', 'sehat', 'keluarga', 'uang', 'gimana', 'bantu', 'perintah', 'suruh', 'mandiri', 'bingung', 'inti', 'rengek', 'mahal', 'coba', 'bpjs', 'kls', 'puluh', 'munkin', 'aq', 'usahain']",Positif
1242,jokowi cerdas bodoh opsinya menaikkan iuran bpjs kesehatan pecat direksi,jokowi cerdas bodoh opsi naik iur bpjs sehat pecat direksi,"['jokowi', 'cerdas', 'bodoh', 'opsi', 'naik', 'iur', 'bpjs', 'sehat', 'pecat', 'direksi']",Positif
1243,krn mantan staf bpjs kesehatan pelayanan kesehatan,krn mantan staf bpjs sehat layan sehat,"['krn', 'mantan', 'staf', 'bpjs', 'sehat', 'layan', 'sehat']",Positif
1244,indonesia gapunya fasilitas kesehatan salah iuran bpjs dinaikin bikin fasilitas kesehatan membaik salah maunya apasi,indonesia gapunya fasilitas sehat salah iur bpjs dinaikin bikin fasilitas sehat baik salah mau apas,"['indonesia', 'gapunya', 'fasilitas', 'sehat', 'salah', 'iur', 'bpjs', 'dinaikin', 'bikin', 'fasilitas', 'sehat', 'baik', 'salah', 'mau', 'apas']",Positif
1245,sesimpel ferguso prinsip bpjs kesehatan gotong royong sesuai prinsip berdasarkan kesepakatan besaran iuran pemerintah menaikkan iuran bpjs bumn,simpel ferguso prinsip bpjs sehat gotong royong sesuai prinsip dasar sepakat besar iur perintah naik iur bpjs bumn,"['simpel', 'ferguso', 'prinsip', 'bpjs', 'sehat', 'gotong', 'royong', 'sesuai', 'prinsip', 'dasar', 'sepakat', 'besar', 'iur', 'perintah', 'naik', 'iur', 'bpjs', 'bumn']",Positif
1246,bpjs psbb dilonggarkan isu herd immunity dijalankan jg udh bgt jaga kesehatan gaji puluh jt sebulan jg abis berobat jaga kesehatan fisik mental spiritual,bpjs psbb longgar isu herd immunity jalan jg udh bgt jaga sehat gaji puluh jt bulan jg abis obat jaga sehat fisik mental spiritual,"['bpjs', 'psbb', 'longgar', 'isu', 'herd', 'immunity', 'jalan', 'jg', 'udh', 'bgt', 'jaga', 'sehat', 'gaji', 'puluh', 'jt', 'bulan', 'jg', 'abis', 'obat', 'jaga', 'sehat', 'fisik', 'mental', 'spiritual']",Positif
1247,bagus biar bpjs manpu membiayai melayani keluhan kesehatan masyarakat,bagus biar bpjs manpu biaya layan keluh sehat masyarakat,"['bagus', 'biar', 'bpjs', 'manpu', 'biaya', 'layan', 'keluh', 'sehat', 'masyarakat']",Positif
1248,fasilitas terbaik bpjs kesehatan pemerintah masyarakat harapannya akses pelanyanan kesehatan terbaik,fasilitas baik bpjs sehat perintah masyarakat harap akses pelanyanan sehat baik,"['fasilitas', 'baik', 'bpjs', 'sehat', 'perintah', 'masyarakat', 'harap', 'akses', 'pelanyanan', 'sehat', 'baik']",Positif
1249,teman sy jatuh dpn rumahnya tulang retak bayar cash enam puluh juta melayang ganti tulang tiruan operasi ganti bpjs kesehatan duit iuran bulanannya seratus ribu ajah,teman sy jatuh dpn rumah tulang retak bayar cash enam puluh juta layang ganti tulang tiru operasi ganti bpjs sehat duit iur bulan ratus ribu ajah,"['teman', 'sy', 'jatuh', 'dpn', 'rumah', 'tulang', 'retak', 'bayar', 'cash', 'enam', 'puluh', 'juta', 'layang', 'ganti', 'tulang', 'tiru', 'operasi', 'ganti', 'bpjs', 'sehat', 'duit', 'iur', 'bulan', 'ratus', 'ribu', 'ajah']",Positif
1250,patah tangan kecelakaan dirumah berobat rs swasta biayanya jutaan control dokter biaya iya cover full bpjs kesehatan,patah tangan celaka rumah obat rs swasta biaya juta control dokter biaya iya cover full bpjs sehat,"['patah', 'tangan', 'celaka', 'rumah', 'obat', 'rs', 'swasta', 'biaya', 'juta', 'control', 'dokter', 'biaya', 'iya', 'cover', 'full', 'bpjs', 'sehat']",Positif
1251,ente udh belajar konsep asuransi belajar gih sblm gonggong bpjs salah bentuk asuransi kesehatan d kelola pemerintah klo u pcy bpjs u pake allianz atw prudential bayar tu premi,ente udh ajar konsep asuransi ajar gih sblm gonggong bpjs salah bentuk asuransi sehat d kelola perintah klo u pcy bpjs u pake allianz atw prudential bayar tu premi,"['ente', 'udh', 'ajar', 'konsep', 'asuransi', 'ajar', 'gih', 'sblm', 'gonggong', 'bpjs', 'salah', 'bentuk', 'asuransi', 'sehat', 'd', 'kelola', 'perintah', 'klo', 'u', 'pcy', 'bpjs', 'u', 'pake', 'allianz', 'atw', 'prudential', 'bayar', 'tu', 'premi']",Positif
1252,rakyatpercayajokowi krn era jokowi fasilitas kesehatan massal bpjs dinikmati rakyat indo,rakyatpercayajokowi krn era jokowi fasilitas sehat massal bpjs nikmat rakyat indo,"['rakyatpercayajokowi', 'krn', 'era', 'jokowi', 'fasilitas', 'sehat', 'massal', 'bpjs', 'nikmat', 'rakyat', 'indo']",Positif
1253,bpjs program gotong royong peserta maaf gratis alias dibayar pemerintah kis peserta berbayar dianggap kelas tinggal pilih sesuai kemampuan kesehatan mahal,bpjs program gotong royong serta maaf gratis alias bayar perintah kis serta bayar anggap kelas tinggal pilih sesuai mampu sehat mahal,"['bpjs', 'program', 'gotong', 'royong', 'serta', 'maaf', 'gratis', 'alias', 'bayar', 'perintah', 'kis', 'serta', 'bayar', 'anggap', 'kelas', 'tinggal', 'pilih', 'sesuai', 'mampu', 'sehat', 'mahal']",Positif
1254, manajerial bpjs tutup. dirugikan bpjs tutup rakyat bawah. nurani mendukung upaya pemerataan peningkatan pelayanan kesehatan,manajerial bpjs tutup rugi bpjs tutup rakyat bawah nurani dukung upaya perata tingkat layan sehat,"['manajerial', 'bpjs', 'tutup', 'rugi', 'bpjs', 'tutup', 'rakyat', 'bawah', 'nurani', 'dukung', 'upaya', 'perata', 'tingkat', 'layan', 'sehat']",Positif
1255,ni tambahin dukungan kpk terbaru kenaikan iuran bpjs kesehatan ,ni tambahin dukung kpk baru naik iur bpjs sehat,"['ni', 'tambahin', 'dukung', 'kpk', 'baru', 'naik', 'iur', 'bpjs', 'sehat']",Positif
1256,kesehatan rakyat mari dukung bpjs sehat keuangannya kesehatan harta no,sehat rakyat mari dukung bpjs sehat uang sehat harta no,"['sehat', 'rakyat', 'mari', 'dukung', 'bpjs', 'sehat', 'uang', 'sehat', 'harta', 'no']",Positif
1257,perpres subsidi jutaan dukung yuk guys,pres subsidi juta dukung yuk guys,"['pres', 'subsidi', 'juta', 'dukung', 'yuk', 'guys']",Positif
1258,guys iuran bpjs sembarangan direksi bpjs kesehatan negara hadir membayarkan iuran jkn jutaan,guys iur bpjs sembarang direksi bpjs sehat negara hadir bayar iur jkn juta,"['guys', 'iur', 'bpjs', 'sembarang', 'direksi', 'bpjs', 'sehat', 'negara', 'hadir', 'bayar', 'iur', 'jkn', 'juta']",Positif
1259,informasi pelemgkap dimana perpress aman mensubsidi jutaan ,informasi pelemgkap mana perpress aman subsidi juta,"['informasi', 'pelemgkap', 'mana', 'perpress', 'aman', 'subsidi', 'juta']",Positif
1260,sepatutnya mendukung pemerintah putuskan kebaikan perpres mensubsidi jutaan peserta ,patut dukung perintah putus baik pres subsidi juta serta,"['patut', 'dukung', 'perintah', 'putus', 'baik', 'pres', 'subsidi', 'juta', 'serta']",Positif
1261,miskin kesehatan digratiskan bpjs klas dinaikan orang negara mendukung pemerintah peduli orang miskin ngebela membayar klas,miskin sehat gratis bpjs klas naik orang negara dukung perintah peduli orang miskin ngebela bayar klas,"['miskin', 'sehat', 'gratis', 'bpjs', 'klas', 'naik', 'orang', 'negara', 'dukung', 'perintah', 'peduli', 'orang', 'miskin', 'ngebela', 'bayar', 'klas']",Positif
1262,jaminan kesehatan pendidikan salah cita pendiri bangsa konsep bpjs gotong royong didukung difahami keberadaannya menyadari kewajibannya kebencian sakit hati menutup,jamin sehat didik salah cita diri bangsa konsep bpjs gotong royong dukung difahami ada sadar wajib benci sakit hati tutup,"['jamin', 'sehat', 'didik', 'salah', 'cita', 'diri', 'bangsa', 'konsep', 'bpjs', 'gotong', 'royong', 'dukung', 'difahami', 'ada', 'sadar', 'wajib', 'benci', 'sakit', 'hati', 'tutup']",Positif
1263,dirut bpjs kesehatan sungguh prestasinya bpjs kesehatan mengalami defisit dirut bpjs kesehatan berhasil menyelamatkan bpjs kesehatan mengalami defisit keuangan,dirut bpjs sehat sungguh prestasi bpjs sehat alami defisit dirut bpjs sehat hasil selamat bpjs sehat alami defisit uang,"['dirut', 'bpjs', 'sehat', 'sungguh', 'prestasi', 'bpjs', 'sehat', 'alami', 'defisit', 'dirut', 'bpjs', 'sehat', 'hasil', 'selamat', 'bpjs', 'sehat', 'alami', 'defisit', 'uang']",Positif
1264,temuan bpkri fair bpk apresiasi bpjs kesehatan efektif kelola dana bidang kesehatan permasalahan rekomendasi potensi beban keuangan mencapai miliaran pembayaran kapitasi didasarkan data peserta aktif,temu bpkri fair bpk apresiasi bpjs sehat efektif kelola dana bidang sehat masalah rekomendasi potensi beban uang capai miliar bayar kapitasi dasar data serta aktif,"['temu', 'bpkri', 'fair', 'bpk', 'apresiasi', 'bpjs', 'sehat', 'efektif', 'kelola', 'dana', 'bidang', 'sehat', 'masalah', 'rekomendasi', 'potensi', 'beban', 'uang', 'capai', 'miliar', 'bayar', 'kapitasi', 'dasar', 'data', 'serta', 'aktif']",Positif
1265,ganjar dipuji presiden dlm menangani corona menanggapi kebijakan jokowi menaikkan iuran bpjs kesehatan keputusan populer ,ganjar puji presiden dlm tangan corona tanggap bijak jokowi naik iur bpjs sehat putus populer,"['ganjar', 'puji', 'presiden', 'dlm', 'tangan', 'corona', 'tanggap', 'bijak', 'jokowi', 'naik', 'iur', 'bpjs', 'sehat', 'putus', 'populer']",Positif
1266,kenaikan bpjs kes kenaikannbpjs kes orang tau kesehatan mahal lo mesti jaga kesehatan kenaikan besaran kenaikannya walahhh memberatkan pastinya shok berat deh krisis,naik bpjs kes kenaikannbpjs kes orang tau sehat mahal lo mesti jaga sehat naik besar naik walahhh berat pasti shok berat deh krisis,"['naik', 'bpjs', 'kes', 'kenaikannbpjs', 'kes', 'orang', 'tau', 'sehat', 'mahal', 'lo', 'mesti', 'jaga', 'sehat', 'naik', 'besar', 'naik', 'walahhh', 'berat', 'pasti', 'shok', 'berat', 'deh', 'krisis']",Positif
1267,bpjs spt asuransi kesehatan jaga jgn smp dipake kl jgn dipake,bpjs spt asuransi sehat jaga jgn smp dipake kl jgn dipake,"['bpjs', 'spt', 'asuransi', 'sehat', 'jaga', 'jgn', 'smp', 'dipake', 'kl', 'jgn', 'dipake']",Positif
1268,skema penyesuaian besaran iuran bpjs kesehatan tertera mudah dipahami,skema sesuai besar iur bpjs sehat tera mudah paham,"['skema', 'sesuai', 'besar', 'iur', 'bpjs', 'sehat', 'tera', 'mudah', 'paham']",Positif
1269,bpjs kesehatan pelayanan penyesuaian besaran,bpjs sehat layan sesuai besar,"['bpjs', 'sehat', 'layan', 'sesuai', 'besar']",Positif
1270,penyesuaian besaran iuran bpjs kesehatan keberlangsungan layanan kesehatan rakyat,sesuai besar iur bpjs sehat langsung layan sehat rakyat,"['sesuai', 'besar', 'iur', 'bpjs', 'sehat', 'langsung', 'layan', 'sehat', 'rakyat']",Positif
